gene,expression/ZAM_root_1.txt,expression/ZAM_root_2.txt,expression/ZAM_root_3.txt,expression/ZAM_tip_leaf_1.txt,expression/ZAM_tip_leaf_2.txt,expression/ZAM_tip_leaf_3.txt,average root,average tip leaf,average overall,donor,sd.root,se.root,sd.tip.leaf,se.tip.leaf
NA, , , , , , ,,,,, , , , 
NA, , , , , , ,,,,, , , , 
NA, , , , , , ,,,,, , , , 
"ZAM150510-40531,ZAM150510-32102",26,20.45,32.1,7.525,6.54,8.19,26.18333333,7.418333333,16.80083333,Andropogoneae,4.757858996,3.36431436,0.677819215,0.479290564
"ZAM150510-06896,ZAM150510-06897,ZAM150510-02854-scaffold682-NATIVE,ZAM150510-06895,ZAM150510-02856","0.961,0","0,0","0,0","0.581,0","0.482,0","1.56,0", , , ,Cenchrinae, , , , 
ZAM150510-56337,11.5,7.63,5.21,4.8,3.34,3.83,8.113333333,3.99,6.051666667,Andropogoneae,2.590525472,1.831778128,0.606684981,0.428991064
"ZAM150510-38416,ZAM150510-56336",12.1,10.09,5.785,6.48,6.445,6.42,9.325,6.448333333,7.886666667,Andropogoneae,2.634226642,1.862679522,0.024608038,0.017400511
"ZAM150510-38411,ZAM150510-62211",65.8,77.1,92.5,30.25,27.9,23.15,78.46666667,27.1,52.78333333,Andropogoneae,10.94298355,7.737857872,2.953246801,2.088260839
ZAM150510-38408,18.5,19,18.1,51.8,55.8,58.7,18.53333333,55.43333333,36.98333333,NA,0.368178701,0.260341656,2.828819935,2.000277758
NA,,,,,,,,,,Cenchrinae,,,,
"ZAM150510-19848,ZAM150510-24233",16.35,16.2,10.575,16.25,19.05,16.85,14.375,17.38333333,15.87916667,Andropogoneae,2.687703481,1.900493357,1.203698006,0.851143022
ZAM150510-25513,1.02,1.37,0,0.909,0,1.08,0.796666667,0.663,0.729833333,Cenchrinae,0.581167408,0.410947415,0.473981012,0.335155188
ZAM150510-60650,60.9,51.7,42,49.9,63.5,74.4,51.53333333,62.6,57.06666667,Cenchrinae,7.716792656,5.456596416,10.02230845,7.086842268
"ZAM150510-42358,ZAM150510-12464",2.91,4.5,14.76,2.0575,3.685,3.46,7.39,3.0675,5.22875,Cenchrinae,5.251647361,3.713475461,0.720060761,0.509159847
NA, , , , , , ,,,,NA, , , , 
NA, , , , , , ,,,,Chloridoideae, , , , 
ZAM150510-25511,88.1,326,136,23,17.8,33.8,183.3666667,24.86666667,104.1166667,Cenchrinae,102.7352693,72.64480558,6.663999466,4.712159213
ZAM150510-60016,1.96,0.585,0,7.54,7.5,8.96,0.848333333,8,4.424166667,Andropogoneae,0.821546644,0.580921203,0.6790189,0.480138869
"ZAM150510-32704,ZAM150510-61239",46.6,45.5,111,44.65,92.85,56.85,67.7,64.78333333,66.24166667,Chloridoideae,30.62101675,21.65232859,20.46156288,14.46850987
NA, , , , , , ,,,,Cenchrinae, , , , 
"ZAM150510-67377,ZAM150510-09447,ZAM150510-56515,ZAM150510-09449",2.0275,2.245,7,4.01175,4.866,1.49825,3.7575,3.458666667,3.608083333,Cenchrinae,2.294512475,1.622465331,1.429419671,1.010752343
"ZAM150510-26625,ZAM150510-09446",7.245,9.045,8.37,3.155,2.84,1.9445,8.22,2.6465,5.43325,Cenchrinae,0.74246212,0.525,0.512776267,0.362587576
NA,,,,,,,,,,Cenchrinae,,,,
"ZAM150510-23897,ZAM150510-20273",20.965,15.669,12.5,29.925,39.96,33.995,16.378,34.62666667,25.50233333,Chloridoideae,3.491997232,2.469214922,4.121048275,2.914021181
ZAM150510-20276,0.96,1.29,1.26,1.14,1.4,0.884,1.17,1.141333333,1.155666667,Chloridoideae,0.148996644,0.105356538,0.210658228,0.148957861
"ZAM150510-13420,ZAM150510-13418",6.825,7.63,4.59,4.3,3.56,1.74,6.348333333,3.2,4.774166667,Cenchrinae,1.286029635,0.909360276,1.075670334,0.760613787
"ZAM150510-12464,ZAM150510-42358",2.91,4.5,14.76,2.0575,3.685,3.46,7.39,3.0675,5.22875,Cenchrinae,5.251647361,3.713475461,0.720060761,0.509159847
ZAM150510-44332,2.36,3.96,0,0.35,0.288,0.622,2.106666667,0.42,1.263333333,Cenchrinae,1.626557373,1.150149749,0.145060907,0.102573551
ZAM150510-15811,0,0,0,0,0,0,0,0,0,Cenchrinae,0,0,0,0
"ZAM150510-35666,ZAM150510-59084",201,220.5,331,34.8,32.6,39.1,250.8333333,35.5,143.1666667,Andropogoneae,57.24266086,40.47667367,2.699382645,1.908751774
"ZAM150510-10712,ZAM150510-42775",2.57,1.835,1.195,11.715,11.75,5.285,1.866666667,9.583333333,5.725,Andropogoneae,0.561787821,0.397243978,3.039414235,2.149190416
ZAM150510-29054,45.3,17.1,1.26,0.214,0,0.19,21.22,0.134666667,10.67733333,Cenchrinae,18.21375305,12.87906829,0.095726462,0.067688831
"ZAM150510-07327,ZAM150510-10712,ZAM150510-42777",2.96,1.398,0.591,14.1,14.86666667,10.82333333,1.649666667,13.26333333,7.4565,Andropogoneae,0.983375931,0.695351789,1.753500206,1.239911886
"ZAM150510-61885,ZAM150510-33808",5.335,5.25,5.625,8.81,5.88,5.655,5.403333333,6.781666667,6.0925,Cenchrinae,0.160537292,0.113517008,1.437186681,1.016244448
ZAM150510-24971,8.8,11.2,7.3,12.1,10.7,6.64,9.1,9.813333333,9.456666667,Cenchrinae,1.60623784,1.135781669,2.315532096,1.637328447
ZAM150510-scaffold8907-NATIVE, , , , , , ,,,,Cenchrinae, , , , 
"ZAM150510-21128,ZAM150510-20207",34,41.4,34,29.7,31.8,35.7,36.46666667,32.4,34.43333333,Cenchrinae,3.488393454,2.466666667,2.485960579,1.757839583
ZAM150510-28334,15.6,14.3,5.07,11.8,15,13.6,11.65666667,13.46666667,12.56166667,Melinidinae,4.687617258,3.314645951,1.30979218,0.926162933
