probe,time_of_day,warm_cold,treatment,species,species_treatment,timepoint,FW,VNaOH,FA,average_FA,replicate,,
LEU13III,evening,cold,warm,A. leucoblepharum,A. leucoblepharum (cold-warm),3,57.9,64,38.68739206,,11,,
LEU13III,evening,cold,warm,A. leucoblepharum,A. leucoblepharum (cold-warm),3,57.9,64,38.68739206,,11,,
LEU1III ,morning,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),3,55.2,247,156.6123188,,1,,
LEU1III ,morning,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),3,55.2,257,162.9528986,,1,,
LEU1III ,morning,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),3,55.2,268,169.9275362,,1,,
LEU1III ,evening,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),3,55.4,48,30.32490975,,1,,
LEU1III ,evening,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),3,55.4,50,31.58844765,,1,,
LEU1III ,evening,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),3,55.4,50,31.58844765,,1,,
LEU4III,morning,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),3,58.1,312,187.9518072,,4,,
LEU4III,morning,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),3,58.1,340,204.8192771,,4,,
LEU4III,morning,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),3,58.1,340,204.8192771,,4,,
LEU4III,evening,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),3,59.7,70,41.03852596,,4,,
LEU4III,evening,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),3,59.7,72,42.21105528,,4,,
LEU4III,evening,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),3,59.7,72,42.21105528,,4,,
LEU6III ,morning,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),3,54.3,204,131.4917127,,6,,
LEU6III ,morning,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),3,54.3,206,132.7808471,,6,,
LEU6III ,morning,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),3,54.3,210,135.359116,,6,,
LEU6III ,evening,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),3,54.3,54,34.80662983,,6,,
LEU6III ,evening,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),3,54.3,58,37.38489871,,6,,
LEU6III ,evening,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),3,54.3,60,38.67403315,,6,,
LEU8III,morning,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),3,56.9,134,82.42530756,,8,,
LEU8III,morning,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),3,56.9,142,87.34622144,,8,,
LEU8III,morning,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),3,56.9,138,84.8857645,,8,,
LEU8III,evening,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),3,53.6,72,47.01492537,,8,,
LEU8III,evening,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),3,53.6,74,48.32089552,,8,,
LEU8III,evening,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),3,53.6,76,49.62686567,,8,,
Per3III  ,morning,cold,control,A. percaneum,A. percaneum (cold-control),3,60.5,123,71.15702479,,3,,
Per3III  ,morning,cold,control,A. percaneum,A. percaneum (cold-control),3,60.5,130,75.20661157,,3,,
Per3III  ,morning,cold,control,A. percaneum,A. percaneum (cold-control),3,60.5,124,71.73553719,,3,,
Per3III  ,evening,cold,control,A. percaneum,A. percaneum (cold-control),3,57.2,50,30.59440559,,3,,
Per3III  ,evening,cold,control,A. percaneum,A. percaneum (cold-control),3,57.2,58,35.48951049,,3,,
Per3III  ,evening,cold,control,A. percaneum,A. percaneum (cold-control),3,57.2,56,34.26573427,,3,,
Per5III ,morning,warm,drought,A. percaneum,A. percaneum (warm-drought),3,55.1,212,134.6642468,,5,,
Per5III ,morning,warm,drought,A. percaneum,A. percaneum (warm-drought),3,55.1,250,158.8021779,,5,,
Per5III ,morning,warm,drought,A. percaneum,A. percaneum (warm-drought),3,55.1,254,161.3430127,,5,,
Per5III ,evening,warm,drought,A. percaneum,A. percaneum (warm-drought),3,53.7,62,40.40968343,,5,,
Per5III ,evening,warm,drought,A. percaneum,A. percaneum (warm-drought),3,53.7,62,40.40968343,,5,,
STU1III,morning,warm,control,A. stuessyi,A. stuessyi (warm-control),3,52.9,151,99.90548204,,1,,
STU1III,morning,warm,control,A. stuessyi,A. stuessyi (warm-control),3,52.9,151,99.90548204,,1,,
STU1III,morning,warm,control,A. stuessyi,A. stuessyi (warm-control),3,52.9,151,99.90548204,,1,,
STU1III,evening,warm,control,A. stuessyi,A. stuessyi (warm-control),3,55.5,48,30.27027027,,1,,
STU1III,evening,warm,control,A. stuessyi,A. stuessyi (warm-control),3,55.5,48,30.27027027,,1,,
STU1III,evening,warm,control,A. stuessyi,A. stuessyi (warm-control),3,55.5,49,30.9009009,,1,,
